timestamp,seq,rssi,file_size,status,client_ip
2026-02-17T12:00:28.513355,86,-65,512000,success,192.168.179.4
2026-02-17T12:00:32.807981,87,-57,512000,success,192.168.179.4
2026-02-17T12:00:36.394352,88,-59,512000,success,192.168.179.4
2026-02-17T12:00:40.382922,89,-33,512000,success,192.168.179.4
2026-02-17T12:00:44.276738,90,-39,512000,success,192.168.179.4
2026-02-17T12:00:47.977731,91,-29,512000,success,192.168.179.4
2026-02-17T12:00:51.510114,92,-27,512000,success,192.168.179.4
2026-02-17T12:00:55.231753,93,-27,512000,success,192.168.179.4
2026-02-17T12:00:58.821720,94,-22,512000,success,192.168.179.4
2026-02-17T12:01:02.580143,95,-23,512000,success,192.168.179.4
2026-02-17T12:01:06.192630,96,-22,512000,success,192.168.179.4
2026-02-17T12:01:09.984593,97,-33,512000,success,192.168.179.4
2026-02-17T12:01:13.875633,98,-27,512000,success,192.168.179.4
2026-02-17T12:01:17.427052,99,-29,512000,success,192.168.179.4
2026-02-17T12:01:20.939083,100,-27,512000,success,192.168.179.4
2026-02-17T12:01:24.249861,101,-27,512000,success,192.168.179.4
2026-02-17T12:01:27.900442,102,-29,512000,success,192.168.179.4
2026-02-17T12:01:31.687811,103,-28,512000,success,192.168.179.4
2026-02-17T12:08:13.048143,2,-65,512000,success,192.168.179.4
2026-02-17T12:08:17.840100,3,-64,512000,success,192.168.179.4
2026-02-17T12:08:22.461758,4,-64,512000,success,192.168.179.4
2026-02-17T12:08:26.807630,5,-64,512000,success,192.168.179.4
2026-02-17T12:08:31.465118,6,-60,512000,success,192.168.179.4
2026-02-17T12:08:37.509488,7,-68,512000,success,192.168.179.4
2026-02-17T12:08:42.213758,8,-68,512000,success,192.168.179.4
2026-02-17T12:08:46.307132,9,-68,512000,success,192.168.179.4
2026-02-17T12:08:50.279443,10,-57,512000,success,192.168.179.4
2026-02-17T12:08:54.106216,11,-59,512000,success,192.168.179.4
2026-02-17T12:08:58.080379,12,-57,512000,success,192.168.179.4
2026-02-17T12:09:01.869112,13,-59,512000,success,192.168.179.4
2026-02-17T12:09:05.664182,14,-56,512000,success,192.168.179.4
2026-02-17T12:09:09.657272,15,-64,512000,success,192.168.179.4
2026-02-17T12:09:13.650227,16,-61,512000,success,192.168.179.4
2026-02-17T12:09:18.565996,17,-68,512000,success,192.168.179.4
2026-02-17T12:09:23.595209,18,-67,512000,success,192.168.179.4
2026-02-17T12:09:28.102586,19,-68,512000,success,192.168.179.4
2026-02-17T12:09:32.605637,20,-60,512000,success,192.168.179.4
2026-02-17T12:09:36.597887,21,-58,512000,success,192.168.179.4
2026-02-17T12:09:40.374848,22,-57,512000,success,192.168.179.4
2026-02-17T12:09:44.497040,23,-77,512000,success,192.168.179.4
2026-02-17T12:09:56.642047,24,-77,512000,success,192.168.179.4
